cert,name,state,city,method,pe_date,overall,assets_k,inv,svc,file_id,svc_gap,in_old_universe
57348,SouthEast Bank,TN,FARRAGUT,Strategic Plan Evaluation,10/01/2025,Satisfactory,3294195.0,,,2025/57348_250901.PDF,False,False
4537,Landmark Bank,MO,COLUMBIA,Large Bank Evaluation,02/01/2020,Satisfactory,3290384.0,Low Satisfactory,High Satisfactory,2019/04537_190610.PDF,False,True
22134,Cache Valley Bank,UT,LOGAN,Large Bank Evaluation,08/01/2025,Satisfactory,3281738.0,High Satisfactory,Low Satisfactory,2025/22134_250210.PDF,True,True
57368,Bankwell Bank,CT,NEW CANAAN,Large Bank Evaluation,02/01/2026,Satisfactory,3230601.0,High Satisfactory,Low Satisfactory,2025/57368_250915.PDF,True,True
58390,Grandpoint Bank,CA,LOS ANGELES,Large Bank Evaluation,05/01/2018,Satisfactory,3198562.0,High Satisfactory,Outstanding,2017/58390_171023.PDF,False,False
15091,Lake Ridge Bank,WI,MIDDLETON,Large Bank Evaluation,03/01/2026,Satisfactory,3178632.0,High Satisfactory,Low Satisfactory,2025/15091_251103.PDF,True,True
34980,Red River Bank,LA,ALEXANDRIA,Large Bank Evaluation,02/01/2026,Satisfactory,3166822.0,Low Satisfactory,High Satisfactory,2025/34980_250902.PDF,False,True
16958,Minnwest Bank,MN,REDWOOD FALLS,Large Bank Evaluation,07/01/2025,Satisfactory,3161280.0,High Satisfactory,High Satisfactory,2025/16958_250210.PDF,False,False
34120,Bank of Ann Arbor,MI,ANN ARBOR,Large Bank Evaluation,05/01/2025,Satisfactory,3150538.0,Low Satisfactory,High Satisfactory,2024/34120_241112.PDF,False,True
24920,Woori America Bank,NY,NEW YORK,Large Bank Evaluation,11/01/2023,Satisfactory,3104798.0,High Satisfactory,High Satisfactory,2023/24920_230509.PDF,False,False
22257,Colony Bank,GA,FITZGERALD,Large Bank Evaluation,01/01/2024,Satisfactory,3091464.0,Low Satisfactory,High Satisfactory,2023/22257_230731.PDF,False,True
32574,Beal Bank,TX,PLANO,Wholesale Bank Evaluation,06/01/2023,Satisfactory,3076875.0,,,2022/32574_220718.PDF,False,False
11666,D. L. Evans Bank,ID,BURLEY,Large Bank Evaluation,03/01/2024,Satisfactory,3071088.0,Low Satisfactory,High Satisfactory,2023/11666_230918.PDF,False,True
