cert,bank,state,regulator,assets_k,exam_method,inv_rating,svc_rating,pe_date,route,contact,channel,address
9632,Fortress Bank,IL,FDIC,897175,Intermediate Small Bank Evaluation,,,12/01/2024,role,CRA Officer,www.bankfortress.com,"9000 N Knoxville Ave, Peoria, IL 61615"
29011,Mechanics Bank,OH,FDIC,896438,Intermediate Small Bank Evaluation,,,10/01/2024,role,CRA Officer,www.mymechanics.com,"2 S Main St, Mansfield, OH 44902"
58341,Mountain Pacific Bank,WA,FDIC,896432,Intermediate Small Bank Evaluation,,,07/01/2024,role,CRA Officer,www.mp.bank,"3732 Broadway, Everett, WA 98201"
11763,VISIONBANK OF IOWA,IA,FED,896116,Int Small Bank,,,"Sep 16, 2019",role,CRA Officer,www.visionbank.com,"104 Chestnut St, Ames, IA 50010"
3225,"Titan Bank, N.A.",TX,OCC,896113,Strategic Plan,,,04/21/2025,role,CRA Officer,www.titanbank.com,"1701 E Hubbard St, Mineral Wells, TX 76067"
3732,Farmers National Bank,IL,OCC,895663,Intermediate Small Bank,,,10/28/2024,role,CRA Officer,www.farmersnationalbank.bank,"114 W 3rd St, Prophetstown, IL 61277"
29632,Windsor Federal Bank,CT,OCC,895437,Intermediate Small Bank,,,09/15/2025,role,CRA Officer,www.windsorfederal.com,"270 Broad St, Windsor, CT 06095"
17588,The First State Bank,TX,FDIC,895174,Intermediate Small Bank Evaluation,,,11/01/2023,role,CRA Officer,www.fsblouise.com,"206 North St., Louise, TX 77455"
9751,21st Century Bank,MN,FDIC,894830,Intermediate Small Bank Evaluation,,,03/01/2026,role,CRA Officer,www.21stcb.com,"699 N Medina St, Loretto, MN 55357"
4032,NBC OKLAHOMA,OK,FDIC,894163,Intermediate Small Bank Evaluation,,,07/01/2023,role,CRA Officer,,"13401 N Pennsylvania Ave, Oklahoma City, OK 73120"
2829,First Southern State Bank,AL,FDIC,893481,Intermediate Small Bank Evaluation,,,01/01/2025,role,CRA Officer,www.fssbank.com,"80 Bank St, Stevenson, AL 35772"
17477,United Bank & Trust,KS,FED,892914,Int Small Bank,,,"Oct 24, 2022",role,CRA Officer,www.ubankonline.com,"823 Broadway, Marysville, KS 66508"
29087,Southwest Heritage Bank,AZ,OCC,892796,Intermediate Small Bank,,,03/10/2025,role,CRA Officer,www.swhbank.com,"8777 E Hartford Dr, Scottsdale, AZ 85255"
8810,The Bank of Delmarva,DE,FED,892349,Intermediate Small Bank Evaluation,High Satisfactory,High Satisfactory,11/01/2019,role,CRA Officer,,"910 Norman Eskridge Hwy, Seaford, DE 19973"
