rssd,cert,name,location,method,exam_date,overall,assets,svc_rating,inv_rating,cd_rating,branches_topneed,exposure,top_county
2652092,34742,EAGLEBANK,"BETHESDA, MD",Large Bank,"Oct 28, 2024",Satisfactory,"$11,228,331",Low Satisfactory,Low Satisfactory,Satisfactory,0,0,
751656,1399,FRANDSEN BANK & TRUST,"LONSDALE, MN",Large Bank,"May 21, 2018",Outstanding,"$1,730,669",High Satisfactory,High Satisfactory,,0,0,
3635533,,FRANKLIN SYNERGY BANK,"FRANKLIN, TN",Large Bank,"Aug 13, 2018",Satisfactory,"$4,080,827",Low Satisfactory,Outstanding,Satisfactory,0,0,
2209553,,HERITAGE BANK OF COMMERCE,"SAN JOSE, CA",Large Bank,"Jun 24, 2024",Satisfactory,"$5,254,044",High Satisfactory,Low Satisfactory,,0,0,
636771,27811,INDEPENDENT BANK,"GRAND RAPIDS, MI",Large Bank,"Oct 30, 2023",Satisfactory,"$5,195,890",Low Satisfactory,Low Satisfactory,,0,0,
58243,20296,JOHNSON BANK,"RACINE, WI",Large Bank,"Sep 29, 2025",Satisfactory,"$7,045,570",High Satisfactory,Low Satisfactory,,0,0,
2339795,34073,LIBERTYVILLE BANK & TRUST COMPANY,"LIBERTYVILLE, IL",Large Bank,"Jan 22, 2018",Outstanding,"$1,374,035",Low Satisfactory,Low Satisfactory,,0,0,
716833,16250,MARQUETTE BANK,"CHICAGO, IL",Large Bank,"Sep 16, 2024",Outstanding,"$2,106,093",High Satisfactory,Low Satisfactory,,0,0,
268006,18013,MASCOMA BANK,"LEBANON, NH",Large Bank,"Nov 02, 2020",Outstanding,"$2,154,572",Low Satisfactory,Low Satisfactory,,0,0,
431172,,PACIFIC PREMIER BANK,"IRVINE, CA",Large Bank,"May 07, 2018",Outstanding,"$8,022,800",High Satisfactory,High Satisfactory,Satisfactory,0,0,
2142155,33867,QUAD CITY BANK AND TRUST COMPANY,"BETTENDORF, IA",Large Bank,"Nov 12, 2018",Satisfactory,"$1,579,542",High Satisfactory,Low Satisfactory,Satisfactory,0,0,
564977,,TERRITORIAL SAVINGS BANK,"HONOLULU, HI",Large Bank,"Jan 27, 2020",Satisfactory,"$2,085,473",High Satisfactory,Low Satisfactory,,0,0,
2693264,34717,TOWN BANK,"HARTLAND, WI",Large Bank,"Oct 01, 2018",Outstanding,"$1,931,362",Low Satisfactory,Low Satisfactory,,0,0,
697763,3430,WESTAMERICA BANK,"SAN RAFAEL, CA",Large Bank,"Oct 01, 2018",Satisfactory,"$5,537,276",High Satisfactory,Low Satisfactory,,0,0,
2580243,34422,AMERICAN BANK,"ALLENTOWN, PA",Large Bank,"Sep 23, 2019",Satisfactory,"$636,580",Low Satisfactory,Low Satisfactory,,0,0,
546003,18129,BANKNEWPORT,"NEWPORT, RI",Large Bank,"Sep 16, 2019",Satisfactory,"$1,703,855",High Satisfactory,Low Satisfactory,,0,0,
765019,,"BRYN MAWR TRUST COMPANY, THE","BRYN MAWR, PA",Large Bank,"Dec 02, 2019",Satisfactory,"$4,721,394",Low Satisfactory,Needs to Improve,Outstanding,0,0,
290052,,CENTRAL BANK OF THE OZARKS,"SPRINGFIELD, MO",Large Bank,"Sep 09, 2019",Outstanding,"$1,416,078",Outstanding,Outstanding,Outstanding,0,0,
884303,597,CHEMUNG CANAL TRUST COMPANY,"ELMIRA, NY",Large Bank,"Sep 25, 2023",Satisfactory,"$2,649,923",High Satisfactory,Low Satisfactory,Outstanding,0,0,
625654,,COUNTRY CLUB BANK,"KANSAS CITY, MO",Large Bank,"Oct 28, 2024",Outstanding,"$2,104,289",Outstanding,Outstanding,Satisfactory,0,0,
