name,hq,exam_date,exam_year,rating,ma_originations_2024,pe_url
"J.G. Wentworth Home Lending, LLC","Woodbridge, VA",7/31/2019,2019,S,0,https://www.mass.gov/doc/jg-wentworth-home-lending-llc-mlci-public-evaluation/download
"Keller Mortgage, LLC","Dublin, OH",2/27/2023,2023,S,0,https://www.mass.gov/doc/keller-mortgage-llc-mlci-performance-evaluation/download
"LendUS, LLC","Alamo, CA",3/9/2020,2020,S,0,https://www.mass.gov/doc/lendus-llc-mlci-public-evaluation/download
Luxury Mortgage Corp.,"Stamford, CT",6/8/2021,2021,S,0,https://www.mass.gov/doc/luxury-mortgage-corp-mlci-performance-evaluation/download
Mid-Island Mortgage Corp.,"Westbury, NY",1/7/2021,2021,S,0,https://www.mass.gov/doc/mid-island-mortgage-corp-mlci-performance-evaluation/download
"MiLend, Inc.","Atlanta, GA",5/10/2017,2017,NI,0,https://www.mass.gov/doc/milend-inc-cra-public-evaluation/download
"Monument Mortgage Company, Inc.","Lexington, MA",4/21/2009,2009,S,0,https://www.mass.gov/doc/monument-mortgage-co-mlci-public-evaluation/download
"Mortgage Network, Inc.","Danvers, MA",12/21/2021,2021,S,0,https://www.mass.gov/doc/mortgage-network-inc-mlci-performance-evaluation/download
"New American Funding, LLC","Santa Ana, CA",4/9/2026,2026,S,0,https://www.mass.gov/doc/new-american-funding-llc-mlci-performance-evaluation/download
"New Day Financial, LLC","Fulton, MD",7/28/2020,2020,S,0,https://www.mass.gov/doc/new-day-financial-llc-mlci-public-evaluation/download
"Northeast Home Loan, LLC","West Chesterfield, NH",11/15/2021,2021,NI,0,https://www.mass.gov/doc/northeast-home-loan-llc-mlci-performance-evaluation/download
"Poli Mortgage Group, Inc.","Norwood, MA",2/3/2023,2023,NI,0,https://www.mass.gov/doc/poli-mortgage-group-inc-mlci-performance-evaluation/download
"Provident Funding Associates, LP","Santa Rosa, CA",8/31/2023,2023,NI,0,https://www.mass.gov/doc/provident-funding-associates-lp-mlci-performance-evaluation/download
