Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
901309,Cumberland Farms 0131,139 South St,,Plainville,MA,02762,1916,NORFOLK,Convenience Store,42.006332,-71.336418,,,67987
901311,Cumberland Farms 0139,105 West St,,Ludlow,MA,01056,2148,HAMPDEN,Convenience Store,42.167728,-72.510841,,,67988
901312,Cumberland Farms 0150,246 Mansfield Ave,,Norton,MA,02766,1306,BRISTOL,Convenience Store,41.990669,-71.210541,,,67989
901315,Cumberland Farms 0176,20 Mechanic St,,Foxboro,MA,02035,2041,NORFOLK,Convenience Store,42.066826,-71.248047,,,67991
901325,Cumberland Farms 0177,460 High Street Ext,,Lancaster,MA,01523,2037,WORCESTER,Convenience Store,42.443325,-71.66748,,,67994
901327,Cumberland Farms 0186,109 Russell St,,Hadley,MA,01035,9519,HAMPSHIRE,Convenience Store,42.341465,-72.594604,,,67996
920839,Dollar Tree 4119,31 Furlong Dr,Unit G,Revere,MA,02151,    ,SUFFOLK,Other,42.397243,-71.000946,,,68026
921188,Circle K 4707501,24 Rocky Hill Rd,,Amesbury,MA,01913,4109,ESSEX,Convenience Store,42.846264,-70.915443,,,68096
921201,Circle K 4707512,181 Pelham St,,Methuen,MA,01844,1520,ESSEX,Convenience Store,42.729267,-71.210419,,,68099
920543,Dollar Tree 4163,999 N Montello St,,Brockton,MA,02301,1640,PLYMOUTH,Other,42.111038,-71.025635,,,68353
920552,Dollar Tree 4205,713 State Rd,,Plymouth,MA,02360,5103,PLYMOUTH,Other,41.915482,-70.556801,,,68356
920555,Dollar Tree 4213,20 Roche Brothers Way,Ste 10 & 11,North Easton,MA,02356,    ,BRISTOL,Other,42.088917,-71.095306,,,68357
920556,Dollar Tree 4227,35 Long Pond Dr,,South Yarmouth,MA,02664,4161,BARNSTABLE,Other,41.657066,-70.206818,,,68358
