rank,county,state,unenrolled_persons,method,n_pressured_banks,total_offices,largest_bank,largest_bank_assets_k,largest_bank_regulator,largest_bank_inv,largest_bank_svc,banks
53,Middlesex,MA,64622,survey-weighted,9,70,Salem Five Cents Savings Bank,7117552,FDIC,Low Satisfactory,High Satisfactory,"Salem Five Cents Savings Bank(FDIC,12br,inv=Low Satisfactory,svc=High Satisfactory); BROOKLINE BANK(FED,12br,inv=Low Satisfactory,svc=Low Satisfactory); Northern Bank & Trust Company(FDIC,14br,inv=High Satisfactory,svc=Low Satisfactory); Avidia Bank(FDIC,5br,inv=Low Satisfactory,svc=Low Satisfactory); UniBank for Savings(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); NEEDHAM BANK(FED,3br,inv=-,svc=Low Satisfactory); The Village Bank(FDIC,11br,inv=Low Satisfactory,svc=Low Satisfactory); North Shore Bank, a Co-operative Bank(FDIC,1br,inv=Substantial Non Complianc,svc=Substantial Non Complianc); EAST CAMBRIDGE SAVINGS BANK(FED,11br,inv=Low Satisfactory,svc=-)"
54,Essex,NJ,64368,survey-weighted,3,3,ConnectOne Bank,14013611,FDIC,Outstanding,Low Satisfactory,"ConnectOne Bank(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); POPULAR BANK(FED,1br,inv=Low Satisfactory,svc=-); Blue Foundry Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
55,Honolulu,HI,63926,survey-weighted,2,26,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,23br,inv=High Satisfactory,svc=Low Satisfactory); COMMONWEALTH BUSINESS BANK(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
56,Collin,TX,63244,survey-weighted,13,39,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,5br,inv=Outstanding,svc=Low Satisfactory); Prosperity Bank(FDIC,16br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); PLAINSCAPITAL BANK(FED,4br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); b1BANK(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory); THIRD COAST BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); City Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); First Guaranty Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
57,Oakland,MI,63199,survey-weighted,3,4,Horizon Bank,7621571,FDIC,Low Satisfactory,High Satisfactory,"Horizon Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Bank of Ann Arbor(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); CHOICEONE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
58,Hamilton,OH,62575,survey-weighted,2,10,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Union Savings Bank(FDIC,9br,inv=High Satisfactory,svc=Low Satisfactory)"
59,Erie,NY,62302,survey-weighted,2,2,Tompkins Community Bank,7842153,FDIC,Low Satisfactory,High Satisfactory,"Tompkins Community Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); CHEMUNG CANAL TRUST COMPANY(FED,1br,inv=Low Satisfactory,svc=-)"
60,Milwaukee,WI,61653,survey-weighted,3,31,North Shore Bank,2569494,FDIC,Low Satisfactory,High Satisfactory,"North Shore Bank(FDIC,17br,inv=Low Satisfactory,svc=High Satisfactory); WaterStone Bank, SSB(FDIC,11br,inv=High Satisfactory,svc=Low Satisfactory); Bank Five Nine(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
61,Polk,FL,61216,survey-weighted,1,2,CENTENNIAL BANK,22808174,FED,-,Low Satisfactory,"CENTENNIAL BANK(FED,2br,inv=-,svc=Low Satisfactory)"
62,DeKalb,GA,58790,survey-weighted,3,8,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory)"
63,Westchester,NY,58000,survey-weighted,6,28,CUSTOMERS BANK,20879065,FDIC+FED,Low Satisfactory,Low Satisfactory,"CUSTOMERS BANK(FDIC+FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Apple Bank for Savings(FDIC,6br,inv=Low Satisfactory,svc=High Satisfactory); ConnectOne Bank(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); Tompkins Community Bank(FDIC,5br,inv=Low Satisfactory,svc=High Satisfactory); BROOKLINE BANK(FED,9br,inv=Low Satisfactory,svc=Low Satisfactory); ORANGE BANK & TRUST COMPANY(FED,6br,inv=Low Satisfactory,svc=-)"
64,Contra Costa,CA,57980,MODELED,5,6,FIRST BANK,6554829,FED,-,Low Satisfactory,"FIRST BANK(FED,2br,inv=-,svc=Low Satisfactory); Bank of Stockton(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Bank of Marin(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Commercial Bank of California(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Five Star Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
65,Davidson,TN,57883,survey-weighted,6,30,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,22br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); SIMMONS BANK(FED,3br,inv=-,svc=Low Satisfactory); COMMERCIAL BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Bank of Tennessee(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST FARMERS AND MERCHANTS BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
66,Suffolk,NY,57872,survey-weighted,2,28,Apple Bank for Savings,16888361,FDIC,Low Satisfactory,High Satisfactory,"Apple Bank for Savings(FDIC,10br,inv=Low Satisfactory,svc=High Satisfactory); ConnectOne Bank(FDIC,18br,inv=Outstanding,svc=Low Satisfactory)"
67,San Joaquin,CA,57499,MODELED,2,9,Bank of Stockton,4320510,FDIC,Low Satisfactory,High Satisfactory,"Bank of Stockton(FDIC,8br,inv=Low Satisfactory,svc=High Satisfactory); Five Star Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
69,Montgomery,TX,57433,survey-weighted,7,20,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,7br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,5br,inv=-,svc=Low Satisfactory); PLAINSCAPITAL BANK(FED,1br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); THIRD COAST BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); TEXAS REGIONAL BANK(FED,1br,inv=Low Satisfactory,svc=-); TEXAS FIRST BANK(FED,3br,inv=Low Satisfactory,svc=-)"
70,Utah,UT,57177,survey-weighted,4,19,NBH BANK,6948775,FED,-,Low Satisfactory,"NBH BANK(FED,5br,inv=-,svc=Low Satisfactory); Cache Valley Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); D. L. Evans Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Central Bank(FDIC,12br,inv=Low Satisfactory,svc=High Satisfactory)"
71,Nassau,NY,55249,survey-weighted,6,31,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Apple Bank for Savings(FDIC,11br,inv=Low Satisfactory,svc=High Satisfactory); ConnectOne Bank(FDIC,16br,inv=Outstanding,svc=Low Satisfactory); PEAPACK-GLADSTONE BANK(FED,1br,inv=-,svc=Low Satisfactory); Habib American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); The Bank of Princeton(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
72,Jefferson,AL,54642,survey-weighted,4,33,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,29br,inv=-,svc=Low Satisfactory); Community Bank of Mississippi(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); SMARTBANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); BANKFIRST FINANCIAL SERVICES(FED,1br,inv=Low Satisfactory,svc=-)"
73,Tulsa,OK,53662,survey-weighted,10,47,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,9br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,5br,inv=Low Satisfactory,svc=-); BancFirst(FDIC+FED,10br,inv=High Satisfactory,svc=Low Satisfactory); Great Southern Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); RCB BANK(FED,5br,inv=Low Satisfactory,svc=Low Satisfactory); EQUITY BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST FIDELITY BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Armstrong Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); International Bank of Commerce(FDIC,11br,inv=Outstanding,svc=Low Satisfactory)"
75,Wake,NC,52904,survey-weighted,6,19,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,1br,inv=Low Satisfactory,svc=-); Southern Bank and Trust Company(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Carter Bank & Trust(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); The Fidelity Bank(FDIC,13br,inv=Low Satisfactory,svc=Low Satisfactory); HOMETRUST BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
76,Baltimore city,MD,52483,survey-weighted,7,10,UNIVEST BANK AND TRUST CO.,6892885,FED,-,Low Satisfactory,"UNIVEST BANK AND TRUST CO.(FED,1br,inv=-,svc=Low Satisfactory); UNIVEST BANK AND TRUST CO.(FED,1br,inv=-,svc=Low Satisfactory); Firstrust Savings Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); CFG Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); CFG Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); ORRSTOWN BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory); FVCBANK(FED,1br,inv=Needs to Improve,svc=-)"
78,Jackson,MO,51947,survey-weighted,7,35,SIMMONS BANK,26749112,FED,-,Low Satisfactory,"SIMMONS BANK(FED,2br,inv=-,svc=Low Satisfactory); CENTRAL TRUST BANK THE(FED,15br,inv=Low Satisfactory,svc=-); NBH BANK(FED,5br,inv=-,svc=Low Satisfactory); Great Southern Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); EQUITY BANK(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory); Security Bank of Kansas City(FDIC,6br,inv=Low Satisfactory,svc=High Satisfactory); Hawthorn Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
79,Greenville,SC,51775,survey-weighted,6,12,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Ameris Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); ENCORE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); HOMETRUST BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); First Community Bank(FDIC,3br,inv=Low Satisfactory,svc=Low Satisfactory)"
80,East Baton Rouge Parish,LA,51668,survey-weighted,5,26,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,10br,inv=-,svc=Low Satisfactory); BankPlus(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); b1BANK(FDIC,5br,inv=Low Satisfactory,svc=Low Satisfactory); Red River Bank(FDIC,5br,inv=Low Satisfactory,svc=High Satisfactory); Gulf Coast Bank and Trust Company(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
81,Ventura,CA,51221,MODELED,1,2,FIRST BANK,6554829,FED,-,Low Satisfactory,"FIRST BANK(FED,2br,inv=-,svc=Low Satisfactory)"
82,Middlesex,NJ,50118,survey-weighted,8,26,Apple Bank for Savings,16888361,FDIC,Low Satisfactory,High Satisfactory,"Apple Bank for Savings(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); POPULAR BANK(FED,1br,inv=Low Satisfactory,svc=-); CTBC Bank Corp. (USA)(FDIC,1br,inv=Substantial Non Complianc,svc=Substantial Non Complianc); Habib American Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); AMBOY BANK(FED,13br,inv=Low Satisfactory,svc=-); Unity Bank(FDIC,4br,inv=Low Satisfactory,svc=High Satisfactory); Blue Foundry Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); The Bank of Princeton(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory)"
83,Cameron,TX,50116,survey-weighted,5,24,PLAINSCAPITAL BANK,13674043,FED,-,Low Satisfactory,"PLAINSCAPITAL BANK(FED,5br,inv=-,svc=Low Satisfactory); International Bank of Commerce(FDIC,12br,inv=Outstanding,svc=Low Satisfactory); TEXAS REGIONAL BANK(FED,5br,inv=Low Satisfactory,svc=-); TEXAS COMMUNITY BANK(FED,1br,inv=Low Satisfactory,svc=Needs to Improve); Falcon International Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
84,Ocean,NJ,49972,survey-weighted,3,4,Apple Bank for Savings,16888361,FDIC,Low Satisfactory,High Satisfactory,"Apple Bank for Savings(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Unity Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); The Bank of Princeton(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
85,Hudson,NJ,49056,survey-weighted,3,4,ConnectOne Bank,14013611,FDIC,Outstanding,Low Satisfactory,"ConnectOne Bank(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); POPULAR BANK(FED,1br,inv=Low Satisfactory,svc=-); Blue Foundry Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory)"
86,Knox,TN,48640,survey-weighted,6,23,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,12br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,2br,inv=-,svc=Low Satisfactory); SMARTBANK(FED,3br,inv=Low Satisfactory,svc=Low Satisfactory); Gulf Coast Bank and Trust Company(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); COMMERCIAL BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory); Bank of Tennessee(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
87,Pulaski,AR,48447,survey-weighted,6,61,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,10br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,16br,inv=Outstanding,svc=Low Satisfactory); SIMMONS BANK(FED,16br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,15br,inv=-,svc=Low Satisfactory); ENCORE BANK(FED,2br,inv=Low Satisfactory,svc=Low Satisfactory); First Community Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
88,San Francisco,CA,48256,MODELED,8,10,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Amalgamated Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); FIRST BANK(FED,2br,inv=-,svc=Low Satisfactory); CTBC Bank Corp. (USA)(FDIC,1br,inv=Substantial Non Complianc,svc=Substantial Non Complianc); Bank of Marin(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Five Star Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Bank of Guam(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Avidbank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
89,Cobb,GA,47753,survey-weighted,4,14,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); Ameris Bank(FDIC,9br,inv=High Satisfactory,svc=Low Satisfactory); The Fidelity Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
90,Macomb,MI,47596,survey-weighted,1,1,CHOICEONE BANK,2724240,FED,Low Satisfactory,Low Satisfactory,"CHOICEONE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
92,Brevard,FL,46651,survey-weighted,1,2,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,2br,inv=-,svc=Low Satisfactory)"
93,Montgomery,MD,46137,survey-weighted,3,3,PRIMIS BANK,3831355,FED,Low Satisfactory,Low Satisfactory,"PRIMIS BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Burke & Herbert Bank & Trust Company(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); FVCBANK(FED,1br,inv=Needs to Improve,svc=-)"
94,Denton,TX,45420,survey-weighted,8,21,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,6br,inv=Outstanding,svc=Low Satisfactory); Prosperity Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory); PLAINSCAPITAL BANK(FED,1br,inv=-,svc=Low Satisfactory); NBH BANK(FED,1br,inv=-,svc=Low Satisfactory); b1BANK(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); First Guaranty Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); TEXAS REGIONAL BANK(FED,3br,inv=Low Satisfactory,svc=-); FIRST STATE BANK(FED,3br,inv=Needs to Improve,svc=-)"
95,Monroe,NY,43986,survey-weighted,1,3,Tompkins Community Bank,7842153,FDIC,Low Satisfactory,High Satisfactory,"Tompkins Community Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory)"
96,Multnomah,OR,43981,survey-weighted,1,2,Heritage Bank,7233406,FDIC,High Satisfactory,Low Satisfactory,"Heritage Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
97,Richmond,NY,43491,survey-weighted,1,1,Apple Bank for Savings,16888361,FDIC,Low Satisfactory,High Satisfactory,"Apple Bank for Savings(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
98,Denver,CO,43328,survey-weighted,3,5,Bank of Colorado,7572545,FDIC,Low Satisfactory,High Satisfactory,"Bank of Colorado(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); NBH BANK(FED,2br,inv=-,svc=Low Satisfactory); ENCORE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
99,Bergen,NJ,43178,survey-weighted,11,42,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); Apple Bank for Savings(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); ConnectOne Bank(FDIC,6br,inv=Outstanding,svc=Low Satisfactory); Hanmi Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); PCB Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Unity Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Ion Bank(FDIC,11br,inv=Low Satisfactory,svc=High Satisfactory); Blue Foundry Bank(FDIC,11br,inv=Low Satisfactory,svc=High Satisfactory); The Bank of Princeton(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); Shinhan Bank America(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory)"
100,Snohomish,WA,43153,survey-weighted,4,17,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Heritage Bank(FDIC,7br,inv=High Satisfactory,svc=Low Satisfactory); 1st Security Bank of Washington(FDIC,4br,inv=Outstanding,svc=Low Satisfactory); Peoples Bank(FDIC,5br,inv=High Satisfactory,svc=Low Satisfactory)"
101,Pasco,FL,43063,survey-weighted,2,4,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,3br,inv=-,svc=Low Satisfactory)"
102,Montgomery,OH,42868,survey-weighted,2,7,Union Savings Bank,3391585,FDIC,High Satisfactory,Low Satisfactory,"Union Savings Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory); CIVISTA BANK(FED,3br,inv=-,svc=Low Satisfactory)"
103,Bernalillo,NM,42755,survey-weighted,2,3,NBH BANK,6948775,FED,-,Low Satisfactory,"NBH BANK(FED,1br,inv=-,svc=Low Satisfactory); First American Bank(FDIC,2br,inv=Outstanding,svc=Low Satisfactory)"
104,Jefferson Parish,LA,42661,survey-weighted,5,18,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,6br,inv=-,svc=Low Satisfactory); BankPlus(FDIC,3br,inv=Outstanding,svc=Low Satisfactory); b1BANK(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); Red River Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Gulf Coast Bank and Trust Company(FDIC,7br,inv=Low Satisfactory,svc=Low Satisfactory)"
105,Brazos,TX,42012,survey-weighted,4,16,Prosperity Bank,38274790,FDIC,High Satisfactory,Low Satisfactory,"Prosperity Bank(FDIC,10br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,1br,inv=-,svc=Low Satisfactory); City Bank(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory); American Momentum Bank(FDIC,4br,inv=High Satisfactory,svc=Low Satisfactory)"
106,Pinal,AZ,41810,survey-weighted,1,1,Western State Bank,2072686,FDIC,Low Satisfactory,High Satisfactory,"Western State Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
108,Montgomery,PA,41536,survey-weighted,8,42,Tompkins Community Bank,7842153,FDIC,Low Satisfactory,High Satisfactory,"Tompkins Community Bank(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); UNIVEST BANK AND TRUST CO.(FED,20br,inv=-,svc=Low Satisfactory); Firstrust Savings Bank(FDIC,7br,inv=Low Satisfactory,svc=Low Satisfactory); Penn Community Bank(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); FIRST CITIZENS COMMUNITY BANK(FED,2br,inv=Low Satisfactory,svc=-); The Bank of Princeton(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); QNB Bank(FDIC,5br,inv=Low Satisfactory,svc=High Satisfactory); Meridian Bank(FDIC,1br,inv=Substantial Non Complianc,svc=Substantial Non Complianc)"
109,Sarasota,FL,41397,survey-weighted,5,9,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,3br,inv=-,svc=Low Satisfactory); The Bank of Tampa(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Sunwest Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); American Momentum Bank(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory)"
110,Guilford,NC,41224,survey-weighted,2,7,Carter Bank & Trust,4446729,FDIC,Low Satisfactory,High Satisfactory,"Carter Bank & Trust(FDIC,3br,inv=Low Satisfactory,svc=High Satisfactory); The Fidelity Bank(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
111,Volusia,FL,40376,survey-weighted,2,4,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); Ameris Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
112,Kent,MI,40366,survey-weighted,3,21,Horizon Bank,7621571,FDIC,Low Satisfactory,High Satisfactory,"Horizon Bank(FDIC,2br,inv=Low Satisfactory,svc=High Satisfactory); Macatawa Bank(FDIC,11br,inv=High Satisfactory,svc=Low Satisfactory); CHOICEONE BANK(FED,8br,inv=Low Satisfactory,svc=Low Satisfactory)"
113,Orleans Parish,LA,40185,survey-weighted,3,9,BankPlus,7790270,FDIC,Outstanding,Low Satisfactory,"BankPlus(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Red River Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); Gulf Coast Bank and Trust Company(FDIC,6br,inv=Low Satisfactory,svc=Low Satisfactory)"
114,Fayette,KY,39996,survey-weighted,3,7,INDEPENDENCE BANK OF KENTUCKY,3062572,FED,-,Low Satisfactory,"INDEPENDENCE BANK OF KENTUCKY(FED,1br,inv=-,svc=Low Satisfactory); Traditional Bank, Inc.(FDIC,5br,inv=Low Satisfactory,svc=High Satisfactory); South Central Bank,  Inc.(FDIC,1br,inv=Low Satisfactory,svc=Low Satisfactory)"
115,Richland,SC,39872,survey-weighted,3,7,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,1br,inv=-,svc=Low Satisfactory); Ameris Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory); First Community Bank(FDIC,4br,inv=Low Satisfactory,svc=Low Satisfactory)"
116,Pierce,WA,39777,survey-weighted,4,20,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); Heritage Bank(FDIC,11br,inv=High Satisfactory,svc=Low Satisfactory); 1st Security Bank of Washington(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Timberland Bank(FDIC,6br,inv=High Satisfactory,svc=Low Satisfactory)"
