rank,county,state,unenrolled_persons,method,n_pressured_banks,total_offices,largest_bank,largest_bank_assets_k,largest_bank_regulator,largest_bank_inv,largest_bank_svc,banks
11,Riverside,CA,183784,MODELED,1,3,FIRST BANK,6554829,FED,-,Low Satisfactory,"FIRST BANK(FED,3br,inv=-,svc=Low Satisfactory)"
12,San Bernardino,CA,176091,MODELED,2,2,Bank of Hope,18082905,FDIC,High Satisfactory,Low Satisfactory,"Bank of Hope(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); FIRST BANK(FED,1br,inv=-,svc=Low Satisfactory)"
13,Bexar,TX,173935,survey-weighted,11,39,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,2br,inv=Outstanding,svc=Low Satisfactory); Prosperity Bank(FDIC,13br,inv=High Satisfactory,svc=Low Satisfactory); CENTENNIAL BANK(FED,1br,inv=-,svc=Low Satisfactory); PLAINSCAPITAL BANK(FED,4br,inv=-,svc=Low Satisfactory); THIRD COAST BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); ENCORE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); Jefferson Bank(FDIC,10br,inv=Low Satisfactory,svc=Outstanding); TEXAS REGIONAL BANK(FED,1br,inv=Low Satisfactory,svc=-); American Momentum Bank(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory); TEXAS COMMUNITY BANK(FED,3br,inv=Low Satisfactory,svc=Needs to Improve)"
14,Broward,FL,168737,survey-weighted,6,29,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,8br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,1br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,15br,inv=-,svc=Low Satisfactory); POPULAR BANK(FED,2br,inv=Low Satisfactory,svc=-); Ocean Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory); Banco do Brasil Americas(FDIC,1br,inv=High Satisfactory,svc=Low Satisfactory)"
16,Tarrant,TX,164794,survey-weighted,16,57,Bank OZK,41606548,FDIC,Outstanding,Low Satisfactory,"Bank OZK(FDIC,5br,inv=Outstanding,svc=Low Satisfactory); Prosperity Bank(FDIC,11br,inv=High Satisfactory,svc=Low Satisfactory); SIMMONS BANK(FED,11br,inv=-,svc=Low Satisfactory); CENTENNIAL BANK(FED,4br,inv=-,svc=Low Satisfactory); PLAINSCAPITAL BANK(FED,5br,inv=-,svc=Low Satisfactory); ORIGIN BANK(FED,4br,inv=Low Satisfactory,svc=Low Satisfactory); Hanmi Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); NBH BANK(FED,2br,inv=-,svc=Low Satisfactory); THIRD COAST BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); INTERBANK(FED,3br,inv=Low Satisfactory,svc=-)"
17,Wayne,MI,133605,survey-weighted,1,1,Bank of Ann Arbor,3150538,FDIC,Low Satisfactory,High Satisfactory,"Bank of Ann Arbor(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory)"
18,Philadelphia,PA,130533,survey-weighted,7,22,Tompkins Community Bank,7842153,FDIC,Low Satisfactory,High Satisfactory,"Tompkins Community Bank(FDIC,1br,inv=Low Satisfactory,svc=High Satisfactory); UNIVEST BANK AND TRUST CO.(FED,7br,inv=-,svc=Low Satisfactory); Firstrust Savings Bank(FDIC,5br,inv=Low Satisfactory,svc=Low Satisfactory); FIRST CITIZENS COMMUNITY BANK(FED,3br,inv=Low Satisfactory,svc=-); Parke Bank(FDIC,2br,inv=Low Satisfactory,svc=Low Satisfactory); The Bank of Princeton(FDIC,3br,inv=High Satisfactory,svc=Low Satisfactory); Meridian Bank(FDIC,1br,inv=Substantial Non Complianc,svc=Substantial Non Complianc)"
19,Hillsborough,FL,115855,survey-weighted,6,25,REGIONS BANK,151314000,FED,-,Low Satisfactory,"REGIONS BANK(FED,3br,inv=-,svc=Low Satisfactory); Bank OZK(FDIC,7br,inv=Outstanding,svc=Low Satisfactory); CENTENNIAL BANK(FED,4br,inv=-,svc=Low Satisfactory); ENCORE BANK(FED,1br,inv=Low Satisfactory,svc=Low Satisfactory); The Bank of Tampa(FDIC,8br,inv=Low Satisfactory,svc=High Satisfactory); American Momentum Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
20,Hidalgo,TX,113138,survey-weighted,5,46,PLAINSCAPITAL BANK,13674043,FED,-,Low Satisfactory,"PLAINSCAPITAL BANK(FED,7br,inv=-,svc=Low Satisfactory); International Bank of Commerce(FDIC,29br,inv=Outstanding,svc=Low Satisfactory); TEXAS REGIONAL BANK(FED,7br,inv=Low Satisfactory,svc=-); TEXAS COMMUNITY BANK(FED,1br,inv=Low Satisfactory,svc=Needs to Improve); Falcon International Bank(FDIC,2br,inv=High Satisfactory,svc=Low Satisfactory)"
21,Franklin,OH,110505,survey-weighted,3,23,German American Bank,6144423,FDIC,Low Satisfactory,Low Satisfactory,"German American Bank(FDIC,15br,inv=Low Satisfactory,svc=Low Satisfactory); Union Savings Bank(FDIC,6br,inv=High Satisfactory,svc=Low Satisfactory); CIVISTA BANK(FED,2br,inv=-,svc=Low Satisfactory)"
