cert,name,city,state,overall,pub_date,assets_k,lending,investment,service,file_id,active,end_date
34697,WEX Bank,SANDY,UT,Satisfactory,10/01/2025,7597943,Low Satisfactory,Low Satisfactory,Low Satisfactory,2024/34697_241016.PDF,1,
16980,Bank of Colorado,FORT COLLINS,CO,Satisfactory,03/01/2025,7572545,High Satisfactory,Low Satisfactory,High Satisfactory,2024/16980_240819.PDF,1,
29845,Premier Bank,YOUNGSTOWN,OH,Satisfactory,06/01/2022,7423952,,Low Satisfactory,Low Satisfactory,2022/29845_220113.PDF,0,02/28/2025
24170,Hanmi Bank,LOS ANGELES,CA,Satisfactory,01/01/2024,7407990,Low Satisfactory,Low Satisfactory,High Satisfactory,2023/24170_230606.PDF,1,
29012,Heritage Bank,OLYMPIA,WA,Satisfactory,01/01/2024,7233406,High Satisfactory,High Satisfactory,Low Satisfactory,2023/29012_230705.PDF,1,
18203,United Bank,HARTFORD,CT,Satisfactory,04/01/2019,7197597,,Low Satisfactory,Low Satisfactory,2018/18203_181030.PDF,0,11/01/2019
23296,Salem Five Cents Savings Bank,SALEM,MA,Satisfactory,06/01/2024,7117552,High Satisfactory,Low Satisfactory,High Satisfactory,2023/23296_231211.PDF,1,
3657,First American Bank,ELK GROVE VILLAGE,IL,Satisfactory,09/01/2025,7074673,High Satisfactory,Low Satisfactory,Low Satisfactory,2024/3657_241021.PDF,1,
33510,East Boston Savings Bank,BOSTON,MA,Satisfactory,06/01/2021,6619632,High Satisfactory,High Satisfactory,Low Satisfactory,2020/33510_201207.PDF,0,11/12/2021
17393,German American Bank,JASPER,IN,Satisfactory,10/01/2024,6144423,High Satisfactory,Low Satisfactory,Low Satisfactory,2024/17393_240422.PDF,1,
24156,Ocean Bank,MIAMI,FL,Satisfactory,12/01/2023,5986172,High Satisfactory,Low Satisfactory,Low Satisfactory,2023/24156_230606.PDF,1,
29546,Great Southern Bank,REEDS SPRING,MO,Satisfactory,09/01/2024,5723662,Low Satisfactory,High Satisfactory,Low Satisfactory,2023/29546_230905.PDF,1,
58228,b1BANK,BATON ROUGE,LA,Satisfactory,10/01/2023,5531431,Low Satisfactory,Low Satisfactory,Low Satisfactory,2023/58228_230410.PDF,1,
18429,Morton Community Bank,MORTON,IL,Satisfactory,08/01/2024,5467281,Low Satisfactory,High Satisfactory,Low Satisfactory,2024/18429_240205.PDF,1,
26647,Firstrust Savings Bank,CONSHOHOCKEN,PA,Satisfactory,07/01/2024,5122806,Low Satisfactory,Low Satisfactory,Low Satisfactory,2023/26647_231106.PDF,1,
90250,Institution for Savings in Newburyport and Its Vicinity,NEWBURYPORT,MA,Satisfactory,02/01/2026,5085006,Low Satisfactory,Outstanding,Low Satisfactory,2024/90250_240624.PDF,1,
34294,CFG Bank,LUTHERVILLE,MD,Satisfactory,09/01/2024,5027779,Low Satisfactory,High Satisfactory,Low Satisfactory,2024/34294_240226.PDF,1,
10248,First International Bank & Trust,WATFORD CITY,ND,Satisfactory,12/01/2023,4876751,Low Satisfactory,Low Satisfactory,Low Satisfactory,2023/10248_230717.PDF,1,
19416,CTBC Bank Corp. (USA),LOS ANGELES,CA,Satisfactory,07/01/2023,4816873,,Substantial Non Complianc,Substantial Non Complianc,2023/19416_230206.PDF,1,
15359,Southern Bank and Trust Company,MOUNT OLIVE,NC,Satisfactory,10/01/2024,4758607,Low Satisfactory,High Satisfactory,Low Satisfactory,2024/15359_240409.PDF,1,
8879,Community Bank of Mississippi,FLOWOOD,MS,Satisfactory,10/01/2023,4608467,Outstanding,Low Satisfactory,High Satisfactory,2023/8879_230227.PDF,1,
90211,Hingham Institution for Savings,HINGHAM,MA,Satisfactory,03/01/2026,4449837,High Satisfactory,High Satisfactory,Low Satisfactory,2024/90211_241104.PDF,1,
58596,Carter Bank & Trust,MARTINSVILLE,VA,Satisfactory,05/01/2024,4446729,High Satisfactory,Low Satisfactory,High Satisfactory,2023/58596_231023.PDF,1,
1536,Bank of Stockton,STOCKTON,CA,Satisfactory,06/01/2025,4320510,Low Satisfactory,Low Satisfactory,High Satisfactory,2024/1536_240916.PDF,1,
11507,The Fidelity Bank,FUQUAY VARINA,NC,Satisfactory,03/01/2026,4263695,High Satisfactory,Low Satisfactory,Low Satisfactory,2025/11507_250902.PDF,1,
25103,City Bank,LUBBOCK,TX,Satisfactory,04/01/2024,4184122,Low Satisfactory,Low Satisfactory,Low Satisfactory,2023/25103_240301.PDF,1,
15229,First Business Bank,MADISON,WI,Satisfactory,07/01/2026,4082035,Low Satisfactory,Outstanding,Low Satisfactory,2026/15229_260317.PDF,1,
32779,Bank of Marin,NOVATO,CA,Satisfactory,06/01/2024,4036176,Low Satisfactory,Low Satisfactory,Low Satisfactory,2023/32779_231106.PDF,1,
33440,Citizens First Bank,THE VILLAGES,FL,Satisfactory,10/01/2022,4013943,,Substantial Non Complianc,,2022/33440_220429.PDF,0,10/01/2025
25679,International Bank of Commerce,BROWNSVILLE,TX,Satisfactory,01/01/2025,3958855,High Satisfactory,Outstanding,Low Satisfactory,2024/25679_240624.PDF,1,
57417,Commercial Bank of California,IRVINE,CA,Satisfactory,06/01/2026,3846280,Low Satisfactory,Low Satisfactory,High Satisfactory,2026/57417_260112.PDF,1,
14028,First Guaranty Bank,HAMMOND,LA,Satisfactory,07/01/2026,3794968,Low Satisfactory,Low Satisfactory,Low Satisfactory,2026/14028_260127.PDF,1,
34102,"Summit Community Bank, Inc",MOOREFIELD,WV,Satisfactory,09/01/2022,3620991,,Low Satisfactory,High Satisfactory,2022/34102_220317.PDF,0,05/03/2024
4705,Security Bank of Kansas City,KANSAS CITY,KS,Satisfactory,04/01/2024,3613944,High Satisfactory,Low Satisfactory,High Satisfactory,2023/4705_231128.PDF,1,
11578,Burke & Herbert Bank & Trust Company,ALEXANDRIA,VA,Satisfactory,11/01/2023,3563307,Low Satisfactory,Low Satisfactory,High Satisfactory,2023/11578_230501.PDF,1,
35361,Five Star Bank,ROSEVILLE,CA,Satisfactory,02/01/2025,3476132,High Satisfactory,High Satisfactory,Low Satisfactory,2024/35361_240722.PDF,1,
19008,Parkway Bank and Trust Company,HARWOOD HEIGHTS,IL,Satisfactory,08/01/2024,3435859,Low Satisfactory,Low Satisfactory,Low Satisfactory,2024/19008_240401.PDF,1,
32296,Union Savings Bank,CINCINNATI,OH,Satisfactory,05/01/2024,3391585,Low Satisfactory,High Satisfactory,Low Satisfactory,2023/32296_230613.PDF,1,
8468,Exchange Bank,SANTA ROSA,CA,Satisfactory,07/01/2026,3304145,Low Satisfactory,Low Satisfactory,Low Satisfactory,2026/8468_260112.PDF,1,
4537,Landmark Bank,COLUMBIA,MO,Satisfactory,02/01/2020,3290384,High Satisfactory,Low Satisfactory,High Satisfactory,2019/04537_190610.PDF,0,02/15/2020
22134,Cache Valley Bank,LOGAN,UT,Satisfactory,08/01/2025,3281738,High Satisfactory,High Satisfactory,Low Satisfactory,2025/22134_250210.PDF,1,
57368,Bankwell Bank,NEW CANAAN,CT,Satisfactory,02/01/2026,3230601,Low Satisfactory,High Satisfactory,Low Satisfactory,2025/57368_250915.PDF,1,
15091,Lake Ridge Bank,MIDDLETON,WI,Satisfactory,03/01/2026,3178632,Low Satisfactory,High Satisfactory,Low Satisfactory,2025/15091_251103.PDF,1,
34980,Red River Bank,ALEXANDRIA,LA,Satisfactory,02/01/2026,3166822,High Satisfactory,Low Satisfactory,High Satisfactory,2025/34980_250902.PDF,1,
34120,Bank of Ann Arbor,ANN ARBOR,MI,Satisfactory,05/01/2025,3150538,Low Satisfactory,Low Satisfactory,High Satisfactory,2024/34120_241112.PDF,1,
22257,Colony Bank,FITZGERALD,GA,Satisfactory,01/01/2024,3091464,High Satisfactory,Low Satisfactory,High Satisfactory,2023/22257_230731.PDF,1,
