Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
867692,Walmart 5710,3848 McHenry Ave,,Modesto,CA,95356,    ,STANISLAUS,Super Store,37.694771,-120.99435,,,89226
1603511,Rancho Market,524 S Verdugo Dr,,Burbank,CA,91502,2344,LOS ANGELES,Convenience Store,34.169895,-118.31185,,,89234
866929,Vons 2818,11800 De Palma Rd,,Corona,CA,92883,    ,RIVERSIDE,Supermarket,33.747486,-117.45312,,,89275
1597889,Arco Am-pm,770 N East St,,Anaheim,CA,92805,2135,ORANGE,Convenience Store,33.846935,-117.90511,,,89306
1590850,Taco Bell #41612,335 N 2nd St,,El Cajon,CA,92021,6445,SAN DIEGO,Restaurant Meals Program,32.798565,-116.93524,,,89335
867395,Kwikee Mart,2044 McKee Rd,,San Jose,CA,95116,1407,SANTA CLARA,Convenience Store,37.361111,-121.85531,,,89348
867535,H Mart,2600 Alton Pkwy,,Irvine,CA,92606,5041,ORANGE,Super Store,33.689255,-117.83445,,,89365
1590566,One Five Nutrition 1,2336 Willow Pass Rd,,Bay Point,CA,94565,3330,CONTRA COSTA,Grocery Store,38.026955,-121.93536,,,89369
867631,Seafood City Supermarket,16130 Nordhoff St,,North Hills,CA,91343,3044,LOS ANGELES,Supermarket,34.235592,-118.48394,,,89373
867885,Trader Joe's 241,21431 Brookhurst St,,Huntington Beach,CA,92646,7354,ORANGE,Supermarket,33.651932,-117.95375,,,89386
1588228,Santa Cruz 76,1500 Soquel Dr,,Santa Cruz,CA,95065,1711,SANTA CRUZ,Convenience Store,36.987808,-121.9845,,,89401
1112042,Dollar Tree 5279,43372 State Highway 74,,Hemet,CA,92544,    ,RIVERSIDE,Other,33.749004,-116.90451,,,89419
1078558,CVS Pharmacy 1983,701 Portola Dr,,San Francisco,CA,94127,1209,SAN FRANCISCO,Other,37.744278,-122.45339,,,89439
1078560,CVS Pharmacy 5483,5601 Van Nuys Blvd,,Sherman Oaks,CA,91401,    ,LOS ANGELES,Other,34.172577,-118.44876,,,89446
1078087,New York Market & Deli,9300 S San Pedro St,,Los Angeles,CA,90003,3845,LOS ANGELES,Grocery Store,33.951859,-118.26951,,,89480
1078350,Walgreens 13859,925 Orange Ave,,Coronado,CA,92118,2609,SAN DIEGO,Other,32.686947,-117.17911,,,89511
1112064,Walmart 5996,1330 E Grand Ave,,Escondido,CA,92027,3019,SAN DIEGO,Super Store,33.129406,-117.06232,,,89537
1586751,Golden Corner Market,35 6th St,,San Francisco,CA,94103,1611,SAN FRANCISCO,Convenience Store,37.781849,-122.40942,,,89539
929590,CVS Pharmacy 3341,44-075 Jefferson St,,La Quinta,CA,92253,    ,RIVERSIDE,Other,33.729141,-116.26893,,,89581
1077437,Walmart Neighborhood Market 5643,421 W Esplanade Dr,,Oxnard,CA,93036,1298,VENTURA,Super Store,34.236423,-119.1796,,,89620
1077462,DOLLAR GENERAL 13178,55556 29 Palms Hwy,,Yucca Valley,CA,92284,2506,SAN BERNARDINO,Other,34.117752,-116.45267,,,89621
1077465,Dollar General Market 13756,1625 N Fruit Ave,,Fresno,CA,93705,5102,FRESNO,Super Store,36.7654,-119.81768,,,89622
1077469,Dollar General Market 13240,111 Roberts Ln,,Bakersfield,CA,93308,4339,KERN,Super Store,35.408611,-119.02222,,,89623
1077471,Dollar General Market 14019,3030 Brundage Ln,,Bakersfield,CA,93304,2499,KERN,Super Store,35.354137,-119.03736,,,89624
1077481,Family Dollar 9309,271 W Base Line Rd,,Rialto,CA,92376,3305,SAN BERNARDINO,Other,34.120815,-117.37403,,,89626
1077485,Family Dollar 9310,1440 E Yosemite Ave,,Madera,CA,93638,1931,MADERA,Other,36.972462,-120.04462,,,89627
868038,Dollar Tree 3275,555 El Camino Real,,South San Francisco,CA,94080,4402,SAN MATEO,Other,37.647667,-122.42899,,,89669
1199956,7 Eleven Store 39726A,3044 Foothill Blvd,,La Crescenta,CA,91214,2789,LOS ANGELES,Convenience Store,34.227627,-118.24603,,,89671
1112231,Rialto Certified Farmers Market,150 S Palm Ave,,Rialto,CA,92376,6487,SAN BERNARDINO,Farmers and Markets,34.099728,-117.3725,,California Department of Food and Agriculture,89682
1112248,Redlands Saturday Morning Farmers' Market, State St.between Orange Ave & 8th Street,,Redlands,CA,92374,    ,SAN BERNARDINO,Farmers and Markets,34.056427,-117.18046,,California Department of Food and Agriculture,89687
1112385,ML Liqours,10971 Potrero Rd,,Moss Landing,CA,95039,9646,MONTEREY,Convenience Store,36.790916,-121.78421,,,89739
1078561,CVS Pharmacy 7088,16961 Beach Blvd,,Huntington Beach,CA,92647,4808,ORANGE,Other,33.716179,-117.98926,,,89743
963051,Desi India Bazaar,1584 Branham Ln,,San Jose,CA,95118,2290,SANTA CLARA,Grocery Store,37.253395,-121.90175,,,89759
1112812,Walgreens 15432,2590 N Texas St,,Fairfield,CA,94533,1606,SOLANO,Other,38.27597,-122.03404,,,89760
1621293,Popeye's #13864,16500 Sherman Way,,Van Nuys,CA,91406,3707,LOS ANGELES,Restaurant Meals Program,34.200497,-118.49286,,,89814
1630949,Hollywood Water Store,7848 Lankershim Blvd,,North Hollywood,CA,91605,2522,LOS ANGELES,Convenience Store,34.213528,-118.38747,,,89857
1112613,CVS 5267,26973 Newport Rd,,Menifee,CA,92584,9221,RIVERSIDE,Other,33.684307,-117.18793,,,89896
