geoid,county,state,pop_poverty_universe,pop_under_130_fpl,pop_under_200_fpl,snap_hh,poor_hh,eligible_unenrolled,method
21159,"Martin County, KY",KY,9628,3831,5358,1125.0,1235.0,632,FNS state total allocated by share of under-130% FPL population
28129,"Smith County, MS",MS,13977,3235,5505,506.0,1018.0,631,FNS state total allocated by share of under-130% FPL population
36035,"Fulton County, NY",NY,51509,9756,16616,3521.0,2820.0,630,FNS state total allocated by share of under-130% FPL population
51199,"York County, VA",VA,69267,5303,9830,965.0,1734.0,630,FNS state total allocated by share of under-130% FPL population
27109,"Olmsted County, MN",MN,161772,17466,29415,4550.0,5461.0,629,FNS state total allocated by share of under-130% FPL population
02110,"Juneau City and Borough, AK",AK,31099,3338,5476,840.0,963.0,628,FNS state total allocated by share of under-130% FPL population
21135,"Lewis County, KY",KY,12826,3804,6524,1146.0,1024.0,628,FNS state total allocated by share of under-130% FPL population
36077,"Otsego County, NY",NY,55059,9729,17102,2285.0,2738.0,628,FNS state total allocated by share of under-130% FPL population
01123,"Tallapoosa County, AL",AL,40144,8229,15071,2264.0,2894.0,627,FNS state total allocated by share of under-130% FPL population
21065,"Estill County, KY",KY,13771,3793,6793,1540.0,1470.0,626,FNS state total allocated by share of under-130% FPL population
48133,"Eastland County, TX",TX,17155,3511,6503,851.0,1185.0,626,FNS state total allocated by share of under-130% FPL population
51683,"Manassas city, VA",VA,42539,5271,9326,899.0,1178.0,626,FNS state total allocated by share of under-130% FPL population
02158,"Kusilvak Census Area, AK",AK,8090,3287,5160,984.0,656.0,619,FNS state total allocated by share of under-130% FPL population
21011,"Bath County, KY",KY,12710,3752,5561,919.0,1065.0,619,FNS state total allocated by share of under-130% FPL population
36113,"Warren County, NY",NY,64516,9599,16023,2940.0,3057.0,619,FNS state total allocated by share of under-130% FPL population
34009,"Cape May County, NJ",NJ,93765,10591,18749,3380.0,4295.0,617,FNS state total allocated by share of under-130% FPL population
28021,"Claiborne County, MS",MS,7545,3160,4279,712.0,952.0,616,FNS state total allocated by share of under-130% FPL population
34037,"Sussex County, NJ",NJ,144644,10544,20171,1808.0,3244.0,615,FNS state total allocated by share of under-130% FPL population
13113,"Fayette County, GA",GA,121351,9759,18040,2145.0,2826.0,614,FNS state total allocated by share of under-130% FPL population
30041,"Hill County, MT",MT,15796,4400,6758,810.0,1129.0,614,FNS state total allocated by share of under-130% FPL population
06035,"Lassen County, CA",CA,23868,4435,7925,1239.0,1278.0,613,FNS state total allocated by share of under-130% FPL population
37049,"Craven County, NC",NC,98127,18239,30555,6015.0,6075.0,613,FNS state total allocated by share of under-130% FPL population
30053,"Lincoln County, MT",MT,20944,4375,8146,1112.0,1507.0,610,FNS state total allocated by share of under-130% FPL population
01017,"Chambers County, AL",AL,33446,7993,14283,2184.0,2537.0,609,FNS state total allocated by share of under-130% FPL population
29145,"Newton County, MO",MO,58759,12237,20938,2727.0,2848.0,608,FNS state total allocated by share of under-130% FPL population
34033,"Salem County, NJ",NJ,64022,10436,16973,3099.0,3080.0,608,FNS state total allocated by share of under-130% FPL population
21239,"Woodford County, KY",KY,26633,3677,6875,922.0,1152.0,607,FNS state total allocated by share of under-130% FPL population
37023,"Burke County, NC",NC,85428,18064,30029,5202.0,5360.0,607,FNS state total allocated by share of under-130% FPL population
16067,"Minidoka County, ID",ID,22151,4110,7213,900.0,1323.0,604,FNS state total allocated by share of under-130% FPL population
21109,"Jackson County, KY",KY,12896,3648,6195,1565.0,1306.0,602,FNS state total allocated by share of under-130% FPL population
21221,"Trigg County, KY",KY,14224,3643,5587,663.0,1095.0,601,FNS state total allocated by share of under-130% FPL population
24009,"Calvert County, MD",MD,93877,5640,10762,1696.0,1549.0,599,FNS state total allocated by share of under-130% FPL population
36051,"Livingston County, NY",NY,56841,9284,15732,2552.0,2580.0,599,FNS state total allocated by share of under-130% FPL population
48289,"Leon County, TX",TX,16183,3355,5831,551.0,1121.0,598,FNS state total allocated by share of under-130% FPL population
39095,"Lucas County, OH",OH,419352,93420,146071,29998.0,32657.0,597,FNS state total allocated by share of under-130% FPL population
51009,"Amherst County, VA",VA,30587,5022,9193,1327.0,1395.0,597,FNS state total allocated by share of under-130% FPL population
21171,"Monroe County, KY",KY,11123,3611,4928,720.0,1068.0,596,FNS state total allocated by share of under-130% FPL population
29023,"Butler County, MO",MO,41159,11975,19764,3366.0,3565.0,595,FNS state total allocated by share of under-130% FPL population
21123,"Larue County, KY",KY,14839,3602,5202,789.0,1051.0,594,FNS state total allocated by share of under-130% FPL population
