puma_code,puma_raw,est_eligible_households,est_eligible_population,n_sample_households,est_non_enrollment_rate,observed_non_enrollment_rate,ci95_lo,ci95_hi,model_confidence,top_predictive_features,model_auc_cv5,model_version,acs_vintage
0603733,3733,11222.0,25155.0,102,0.6112,0.6322,0.5585,0.6657,0.8928,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603734,3734,20165.0,44407.0,172,0.5488,0.4846,0.5082,0.5857,0.9225,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603735,3735,12084.0,27910.0,118,0.564,0.5654,0.5004,0.6224,0.8779,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603736,3736,5509.0,11870.0,61,0.6237,0.6446,0.5322,0.6945,0.8377,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603737,3737,10229.0,25314.0,117,0.6304,0.5764,0.5813,0.6956,0.8857,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603738,3738,8091.0,26282.0,91,0.5466,0.5816,0.4807,0.6074,0.8733,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603739,3739,7197.0,21103.0,72,0.6235,0.6925,0.5365,0.7114,0.8252,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603740,3740,5179.0,13434.0,56,0.6351,0.5457,0.559,0.7158,0.8433,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603741,3741,7551.0,24667.0,80,0.5915,0.5109,0.5403,0.6296,0.9107,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
0603742,3742,7813.0,24593.0,82,0.5337,0.5774,0.4628,0.5881,0.8747,GRNTP;any_pap;householder_age;n_disabled;HHT,0.8011,ca-snap-gap-v0.1.0,2023 1-Year PUMS
